coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.6924180862691784, 40.446577042902604 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-618,True,True,Nuevos Ministerios
" -3.676832402038624, 40.456336002823406 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-802,True,True,Colombia
" -3.6486745747509053, 40.467992917343715 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-803,True,True,Pinar del Rey
" -3.6383312545367454, 40.46941986762225 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-418,True,True,Mar de Cristal
" -3.6383312545367454, 40.46941986762225 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-805,True,True,Feria de Madrid
" -3.6383312545367454, 40.46941986762225 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-806,True,True,Aeropuerto T1-T2-T3
" -3.582531126058038, 40.475768604419436 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-807,True,True,Barajas
" -3.582531126058038, 40.475768604419436 ",True,linea-8,https://www.metromadrid.es/es/linea/linea-8#estacion-808,True,True,Aeropuerto T-4
" -3.774618016060599, 40.39697434800015 ",True,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-1016,True,True,Colonia Jardín
" -3.7812192922444003, 40.402290316776224 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5212,False,True,Prado de la Vega
" -3.7812192922444003, 40.402290316776224 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5213,False,True,Colonia de los Ángeles
" -3.7874895769878942, 40.41046401739344 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5214,False,True,Prado del Rey
" -3.7925323903258628, 40.41535749377666 ",True,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5215,True,True,Somosaguas Sur
" -3.798744151603397, 40.41935979143648 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5216,False,True,Somosaguas Centro
" -3.80448162240161, 40.423067755001526 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5217,False,True,Pozuelo Oeste
" -3.80448162240161, 40.423067755001526 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5219,False,True,Bélgica
" -3.8016233717957095, 40.43252903351356 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5220,False,True,Dos Castillas
" -3.7952551244314376, 40.433374816567124 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5221,False,True,Campus de Somosaguas
" -3.793061094805115, 40.439299781486184 ",True,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5222,True,True,Avenida de Europa
" -3.6903820686972306, 40.4515802047538 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5223,False,True,Berna
" -3.6903820686972306, 40.4515802047538 ",False,ml2,https://www.metromadrid.es/es/linea/ml2#estacion-5224,False,True,Estación de Aravaca
" -3.744300361169432, 40.39922754347372 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-601,True,True,Laguna
" -3.74100000338481, 40.392699152623656 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-602,True,True,Carpetana
" -3.731327675889255, 40.38846340308106 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-523,False,False,Oporto
" -3.731327675889255, 40.38846340308106 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-604,False,False,Opañel
" -3.7182557200044104, 40.384599358863206 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-605,True,False,Plaza Elíptica
" -3.7069010072851825, 40.38709277398245 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-606,True,True,Usera
" -3.695125551387507, 40.391146176794116 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-301,True,True,Legazpi
" -3.6886414650639274, 40.39309490002911 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-608,True,True,Arganzuela-Planetario
" -3.6886414650639274, 40.39309490002911 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-609,False,False,Méndez Álvaro
" -3.6886414650639274, 40.39309490002911 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-118,True,True,Pacífico
" -3.5345387003640565, 40.41760391086565 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-760,True,True,Hospital del Henares
" -3.6668070437216325, 40.48013291749131 ",True,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-153,True,True,Pinar de Chamartín
" -3.663254681489714, 40.48481098673565 ",True,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5112,True,True,Fuente de la Mora
" -3.66099048556045, 40.48733745493073 ",True,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5113,True,True,Virgen del Cortijo
" -3.653538626506948, 40.4854519186063 ",False,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5114,False,True,Antonio Saura
" -3.812116233154177, 40.34523919601582 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1021,True,True,Puerta del Sur
" -3.670409622513099, 40.40696791355658 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-611,True,True,Conde de Casal
" -3.669523455578141, 40.41506318581949 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-612,True,True,Sainz de Baranda
" -3.669523455578141, 40.41506318581949 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-613,False,False,O´Donnell
" -3.6692617275650825, 40.42790259126464 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-202,False,False,Manuel Becerra
" -3.6692617275650825, 40.42790259126464 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-410,False,False,Diego de León
" -3.6692617275650825, 40.42790259126464 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-411,False,False,Avenida de América
" -3.6692617275650825, 40.42790259126464 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-617,False,False,República Argentina
