mechanic_stairs,accesible,station,elevator,line,coordinates
True,True,Nuevos Ministerios,True,linea-8," -3.6924180862691784, 40.446577042902604 "
True,True,Colombia,True,linea-8," -3.676832402038624, 40.456336002823406 "
True,True,Pinar del Rey,True,linea-8," -3.6486745747509053, 40.467992917343715 "
True,True,Mar de Cristal,True,linea-8," -3.6383312545367454, 40.46941986762225 "
True,True,Feria de Madrid,True,linea-8," -3.6383312545367454, 40.46941986762225 "
True,True,Aeropuerto T1-T2-T3,True,linea-8," -3.6383312545367454, 40.46941986762225 "
True,True,Barajas,True,linea-8," -3.582531126058038, 40.475768604419436 "
True,True,Aeropuerto T-4,True,linea-8," -3.582531126058038, 40.475768604419436 "
True,True,Paco de Lucía,True,linea-9," -3.709084232835683, 40.499646860142015 "
True,True,Mirasierra,True,linea-9," -3.71635730886455, 40.491088577548204 "
True,False,Herrera Oria,False,linea-9," -3.7075223938390494, 40.484656572327964 "
True,False,Barrio del Pilar,False,linea-9," -3.7031700829535565, 40.47688138899434 "
True,False,Ventilla,False,linea-9," -3.6958849000624356, 40.46943002884863 "
True,False,Plaza de Castilla,True,linea-9," -3.689182340661554, 40.466893623466774 "
True,False,Duque de Pastrana,False,linea-9," -3.6791750808454435, 40.46761952315198 "
True,False,Pío XII,False,linea-9," -3.6791750808454435, 40.46761952315198 "
True,True,Colombia,True,linea-9," -3.676832402038624, 40.456336002823406 "
True,False,Concha Espina,False,linea-9," -3.6773847300795506, 40.451440884039954 "
True,False,Cruz del Rayo,False,linea-9," -3.678220651650197, 40.44426481662303 "
True,False,Avenida de América,False,linea-9," -3.678220651650197, 40.44426481662303 "
True,False,Núñez de Balboa,False,linea-9," -3.678220651650197, 40.44426481662303 "
True,False,Príncipe de Vergara,False,linea-9," -3.6801282562882505, 40.42293825869698 "
True,False,Ibiza,False,linea-9," -3.6785854582722304, 40.41838874804179 "
True,True,Pinar de Chamartín,True,linea-1," -3.6668070437216325, 40.48013291749131 "
True,True,Sainz de Baranda,True,linea-9," -3.669523455578141, 40.41506318581949 "
True,False,Estrella,False,linea-9," -3.6617915330011224, 40.41146804102253 "
True,False,Vinateros,False,linea-9," -3.6527397668456545, 40.41024020995498 "
True,False,Artilleros,False,linea-9," -3.6418137462853575, 40.40522025828109 "
True,False,Pavones,False,linea-9," -3.6351227460093765, 40.40050941790844 "
True,True,Valdebernardo,True,linea-9," -3.6215666770605437, 40.40004253874335 "
True,True,Vicálvaro,True,linea-9," -3.6215666770605437, 40.40004253874335 "
True,True,San Cipriano,True,linea-9," -3.6024040049730175, 40.40381066236725 "
True,True,Puerta de Arganda,True,linea-9," -3.595982858510145, 40.40131238195054 "
True,True,Rivas Urbanizaciones,True,linea-9," -3.547281479092949, 40.36676887211379 "
True,True,Rivas Futura,True,linea-9," -3.524799759036857, 40.341341035027426 "
True,True,Rivas Vaciamadrid,True,linea-9," -3.5206027411300975, 40.32836870738169 "
True,True,La Poveda,True,linea-9," -3.4774526353611823, 40.31901406572024 "
True,True,Arganda del Rey,True,linea-9," -3.447526065715983, 40.30366479038508 "
True,True,Bambú,True,linea-1," -3.6763772762447107, 40.47680705593772 "
True,True,Chamartín,True,linea-1," -3.682593278115451, 40.4720227901636 "
True,False,Plaza de Castilla,True,linea-1," -3.689182340661554, 40.466893623466774 "
False,False,Valdeacederas,False,linea-1," -3.6950664665123973, 40.46441695832889 "
False,False,Tetuán,False,linea-1," -3.6950664665123973, 40.46441695832889 "
False,False,Estrecho,False,linea-1," -3.703028749396468, 40.454278749227846 "
False,False,Alvarado,False,linea-1," -3.7033178070796913, 40.45033105413335 "
True,True,Cuatro Caminos,True,linea-1," -3.7039784766540205, 40.446966678007556 "
False,False,Ríos Rosas,False,linea-1," -3.7039784766540205, 40.446966678007556 "
False,True,Iglesia,True,linea-1," -3.698983453377392, 40.43491591143403 "
False,False,Bilbao,False,linea-1," -3.702188295886296, 40.42904963582931 "
True,False,Tribunal,False,linea-1," -3.701109289546837, 40.426182305029535 "
True,False,Gran Vía,False,linea-1," -3.701109289546837, 40.426182305029535 "
True,True,Sol,True,linea-1," -3.7032639472488222, 40.416871893770455 "
False,False,Tirso de Molina,False,linea-1," -3.704666474578768, 40.41234081319718 "
