elevator,coordinates,mechanic_stairs,accesible,line,station
True," -3.6924180862691784, 40.446577042902604 ",True,True,linea-8,Nuevos Ministerios
True," -3.676832402038624, 40.456336002823406 ",True,True,linea-8,Colombia
True," -3.6486745747509053, 40.467992917343715 ",True,True,linea-8,Pinar del Rey
True," -3.6383312545367454, 40.46941986762225 ",True,True,linea-8,Mar de Cristal
True," -3.6383312545367454, 40.46941986762225 ",True,True,linea-8,Feria de Madrid
True," -3.6383312545367454, 40.46941986762225 ",True,True,linea-8,Aeropuerto T1-T2-T3
True," -3.582531126058038, 40.475768604419436 ",True,True,linea-8,Barajas
True," -3.582531126058038, 40.475768604419436 ",True,True,linea-8,Aeropuerto T-4
True," -3.587529851420831, 40.457788368783184 ",True,True,linea-5,Alameda de Osuna
True," -3.5940139675362324, 40.45346693887937 ",True,True,linea-5,El Capricho
False," -3.608164956973511, 40.44942037767125 ",True,False,linea-5,Canillejas
False," -3.6170047299183143, 40.44374289429119 ",True,False,linea-5,Torre Arias
False," -3.6268474470761722, 40.44084308870699 ",True,False,linea-5,Suanzes
False," -3.638164089763644, 40.43804242659882 ",False,False,linea-5,Ciudad Lineal
True," -3.642834403605827, 40.43569222122078 ",True,True,linea-5,Pueblo Nuevo
False," -3.647365166136872, 40.43357684329915 ",False,False,linea-5,Quintana
False," -3.657582365367643, 40.431888543471025 ",True,False,linea-5,El Carmen
False," -3.663667689792175, 40.43088079412545 ",False,False,linea-5,Ventas
False," -3.663667689792175, 40.43088079412545 ",True,False,linea-5,Diego de León
False," -3.663667689792175, 40.43088079412545 ",True,False,linea-5,Núñez de Balboa
False," -3.663667689792175, 40.43088079412545 ",False,False,linea-5,Rubén Darío
False," -3.663667689792175, 40.43088079412545 ",True,False,linea-5,Alonso Martínez
False," -3.69762156530907, 40.422924115641855 ",True,False,linea-5,Chueca
True," -3.744300361169432, 40.39922754347372 ",True,True,linea-6-circular,Laguna
False," -3.69762156530907, 40.422924115641855 ",True,False,linea-5,Gran Vía
True," -3.7056671453961694, 40.420127531994346 ",True,True,linea-5,Callao
True," -3.7094295067152068, 40.41808648235822 ",True,True,linea-5,Ópera
False," -3.7081675783047383, 40.4112743722751 ",True,False,linea-5,La Latina
False," -3.711057633812725, 40.40703138929742 ",False,False,linea-5,Puerta de Toledo
False," -3.7066522311398944, 40.40386919094474 ",False,False,linea-5,Acacias
True," -3.7066522311398944, 40.40386919094474 ",True,True,linea-5,Pirámides
False," -3.7066522311398944, 40.40386919094474 ",False,False,linea-5,Marqués de Vadillo
False," -3.723615630429613, 40.39334979453965 ",False,False,linea-5,Urgel
False," -3.731327675889255, 40.38846340308106 ",True,False,linea-5,Oporto
False," -3.7398266451178808, 40.388841774504186 ",False,False,linea-5,Vista Alegre
False," -3.751916263742287, 40.37199788960605 ",False,False,linea-5,Carabanchel
True," -3.7512174724118132, 40.384380915779076 ",True,True,linea-5,Eugenia de Montijo
True," -3.760809652950178, 40.38562451896221 ",True,True,linea-5,Aluche
False," -3.7653543590645233, 40.39056753293377 ",False,True,linea-5,Empalme
True," -3.6668070437216325, 40.48013291749131 ",True,True,linea-1,Pinar de Chamartín
True," -3.74100000338481, 40.392699152623656 ",True,True,linea-6-circular,Carpetana
False," -3.731327675889255, 40.38846340308106 ",True,False,linea-6-circular,Oporto
False," -3.731327675889255, 40.38846340308106 ",True,False,linea-6-circular,Opañel
True," -3.7182557200044104, 40.384599358863206 ",True,False,linea-6-circular,Plaza Elíptica
True," -3.7069010072851825, 40.38709277398245 ",True,True,linea-6-circular,Usera
True," -3.695125551387507, 40.391146176794116 ",True,True,linea-6-circular,Legazpi
True," -3.6886414650639274, 40.39309490002911 ",True,True,linea-6-circular,Arganzuela-Planetario
False," -3.6886414650639274, 40.39309490002911 ",True,False,linea-6-circular,Méndez Álvaro
True," -3.6886414650639274, 40.39309490002911 ",True,True,linea-6-circular,Pacífico
True," -3.670409622513099, 40.40696791355658 ",True,True,linea-6-circular,Conde de Casal
