accesible,elevator,line,mechanic_stairs,coordinates,station
True,True,linea-8,True," -3.6924180862691784, 40.446577042902604 ",Nuevos Ministerios
True,True,linea-8,True," -3.676832402038624, 40.456336002823406 ",Colombia
True,True,linea-8,True," -3.6486745747509053, 40.467992917343715 ",Pinar del Rey
True,True,linea-8,True," -3.6383312545367454, 40.46941986762225 ",Mar de Cristal
True,True,linea-8,True," -3.6383312545367454, 40.46941986762225 ",Feria de Madrid
True,True,linea-8,True," -3.6383312545367454, 40.46941986762225 ",Aeropuerto T1-T2-T3
True,True,linea-8,True," -3.582531126058038, 40.475768604419436 ",Barajas
True,True,linea-8,True," -3.582531126058038, 40.475768604419436 ",Aeropuerto T-4
True,True,linea-9,True," -3.709084232835683, 40.499646860142015 ",Paco de Lucía
True,True,linea-9,True," -3.71635730886455, 40.491088577548204 ",Mirasierra
False,False,linea-9,True," -3.7075223938390494, 40.484656572327964 ",Herrera Oria
False,False,linea-9,True," -3.7031700829535565, 40.47688138899434 ",Barrio del Pilar
False,False,linea-9,True," -3.6958849000624356, 40.46943002884863 ",Ventilla
False,True,linea-9,True," -3.689182340661554, 40.466893623466774 ",Plaza de Castilla
False,False,linea-9,True," -3.6791750808454435, 40.46761952315198 ",Duque de Pastrana
False,False,linea-9,True," -3.6791750808454435, 40.46761952315198 ",Pío XII
True,True,linea-9,True," -3.676832402038624, 40.456336002823406 ",Colombia
False,False,linea-9,True," -3.6773847300795506, 40.451440884039954 ",Concha Espina
False,False,linea-9,True," -3.678220651650197, 40.44426481662303 ",Cruz del Rayo
False,False,linea-9,True," -3.678220651650197, 40.44426481662303 ",Avenida de América
False,False,linea-9,True," -3.678220651650197, 40.44426481662303 ",Núñez de Balboa
False,False,linea-9,True," -3.6801282562882505, 40.42293825869698 ",Príncipe de Vergara
False,False,linea-9,True," -3.6785854582722304, 40.41838874804179 ",Ibiza
True,True,linea-10,True," -3.611465758862776, 40.55976240170775 ",Hospital Infanta Sofía
True,True,linea-7,True," -3.5345387003640565, 40.41760391086565 ",Hospital del Henares
True,True,linea-9,True," -3.669523455578141, 40.41506318581949 ",Sainz de Baranda
False,False,linea-9,True," -3.6617915330011224, 40.41146804102253 ",Estrella
False,False,linea-9,True," -3.6527397668456545, 40.41024020995498 ",Vinateros
False,False,linea-9,True," -3.6418137462853575, 40.40522025828109 ",Artilleros
False,False,linea-9,True," -3.6351227460093765, 40.40050941790844 ",Pavones
True,True,linea-9,True," -3.6215666770605437, 40.40004253874335 ",Valdebernardo
True,True,linea-9,True," -3.6215666770605437, 40.40004253874335 ",Vicálvaro
True,True,linea-9,True," -3.6024040049730175, 40.40381066236725 ",San Cipriano
True,True,linea-9,True," -3.595982858510145, 40.40131238195054 ",Puerta de Arganda
True,True,linea-9,True," -3.547281479092949, 40.36676887211379 ",Rivas Urbanizaciones
True,True,linea-9,True," -3.524799759036857, 40.341341035027426 ",Rivas Futura
True,True,linea-9,True," -3.5206027411300975, 40.32836870738169 ",Rivas Vaciamadrid
True,True,linea-9,True," -3.4774526353611823, 40.31901406572024 ",La Poveda
True,True,linea-9,True," -3.447526065715983, 40.30366479038508 ",Arganda del Rey
True,True,linea-10,True," -3.6234033337323037, 40.550374439557125 ",Reyes Católicos
True,True,linea-10,True," -3.635133826137124, 40.55441858507977 ",Baunatal
True,True,linea-10,True," -3.646883386851369, 40.55047958861559 ",Manuel de Falla
True,True,linea-10,True," -3.646883386851369, 40.55047958861559 ",Marqués de la Valdavia
True,True,linea-10,True," -3.635571004361775, 40.53194806540319 ",La Moraleja
True,True,linea-10,True," -3.658599532025724, 40.527593933186594 ",La Granja
True,True,linea-10,True," -3.658599532025724, 40.527593933186594 ",Ronda de la Comunicación
True,True,linea-10,True," -3.669446787174648, 40.50832462832863 ",Las Tablas
True,True,linea-10,True," -3.6957592776154744, 40.50525031559373 ",Montecarmelo
True,True,linea-10,True," -3.6952099494181434, 40.50119961127806 ",Tres Olivos
False,False,linea-10,True," -3.6928338396454277, 40.49507880631472 ",Fuencarral
False,False,linea-10,True," -3.6928338396454277, 40.49507880631472 ",Begoña
True,True,linea-10,True," -3.682593278115451, 40.4720227901636 ",Chamartín
False,True,linea-10,True," -3.689182340661554, 40.466893623466774 ",Plaza de Castilla
False,False,linea-10,True," -3.689862379719021, 40.458421129185616 ",Cuzco
False,False,linea-10,True," -3.689862379719021, 40.458421129185616 ",Santiago Bernabéu
True,True,linea-1,True," -3.6668070437216325, 40.48013291749131 ",Pinar de Chamartín
True,True,linea-7,True," -3.5271847560338285, 40.41776380376927 ",Henares
True,True,linea-7,True," -3.525504191899041, 40.422951678568836 ",Jarama
True,True,linea-7,True," -3.535417765096221, 40.42441070943472 ",San Fernando
True,True,linea-7,True," -3.5479311641242512, 40.42514488006425 ",La Rambla
True,True,linea-7,True," -3.561193228398721, 40.423729905298636 ",Coslada Central
True,True,linea-7,True," -3.569198792073217, 40.42249256252064 ",Barrio del Puerto
True,True,linea-7,True," -3.569198792073217, 40.42249256252064 ",Estadio Metropolitano
False,False,linea-7,True," -3.6078871300557416, 40.43298035455762 ",Las Musas
False,False,linea-7,True," -3.6154696062824123, 40.427985259797985 ",San Blas
False,False,linea-7,True," -3.625725983210804, 40.42798425779678 ",Simancas
False,False,linea-7,True," -3.625725983210804, 40.42798425779678 ",García Noblejas
False,False,linea-7,True," -3.6410608382789014, 40.4301975485955 ",Ascao
True,True,linea-7,True," -3.642834403605827, 40.43569222122078 ",Pueblo Nuevo
False,False,linea-7,True," -3.642834403605827, 40.43569222122078 ",Barrio de la Concepción
False,True,linea-11,True," -3.7182557200044104, 40.384599358863206 ",Plaza Elíptica
True,True,linea-11,True," -3.72791115890327, 40.38082723882115 ",Abrantes
True,True,linea-11,True," -3.7341716784290124, 40.37585968805198 ",Pan Bendito
True,True,linea-11,True," -3.73910622280992, 40.37359399926437 ",San Francisco
True,True,linea-11,True," -3.751916263742287, 40.37199788960605 ",Carabanchel Alto
True,True,linea-11,True," -3.756906023990758, 40.364217512605684 ",La Peseta
True,True,linea-11,True," -3.777833779671177, 40.357952459398284 ",La Fortuna
True,True,ml2,True," -3.774618016060599, 40.39697434800015 ",Colonia Jardín
True,False,ml2,False," -3.7812192922444003, 40.402290316776224 ",Prado de la Vega
True,False,ml2,False," -3.7812192922444003, 40.402290316776224 ",Colonia de los Ángeles
True,False,ml2,False," -3.7874895769878942, 40.41046401739344 ",Prado del Rey
True,True,ml2,True," -3.7925323903258628, 40.41535749377666 ",Somosaguas Sur
True,False,ml2,False," -3.798744151603397, 40.41935979143648 ",Somosaguas Centro
True,True,ml3,True," -3.774618016060599, 40.39697434800015 ",Colonia Jardín
True,False,ml3,False," -3.78399891339169, 40.39708229442025 ",Ciudad de la Imagen
True,False,ml3,False," -3.78399891339169, 40.39708229442025 ",José Isbert
True,True,linea-10,True," -3.6924180862691784, 40.446577042902604 ",Nuevos Ministerios
True,True,linea-10,True," -3.6924180862691784, 40.446577042902604 ",Gregorio Marañón
False,False,linea-10,True," -3.6924180862691784, 40.446577042902604 ",Alonso Martínez
False,False,linea-10,True," -3.701109289546837, 40.426182305029535 ",Tribunal
True,True,linea-10,True," -3.701109289546837, 40.426182305029535 ",Plaza de España
True,True,linea-10,True," -3.701109289546837, 40.426182305029535 ",Príncipe Pío
True,True,linea-10,False," -3.7356377170839976, 40.41640917765352 ",Lago
True,True,linea-10,False," -3.7356377170839976, 40.41640917765352 ",Batán
True,True,linea-10,True," -3.7610192808902423, 40.40319981212787 ",Casa de Campo
True,True,linea-10,True," -3.774618016060599, 40.39697434800015 ",Colonia Jardín
True,True,linea-10,True," -3.774618016060599, 40.39697434800015 ",Aviación Española
True,True,linea-10,True," -3.791525479765706, 40.377697576926536 ",Cuatro Vientos
True,True,linea-10,True," -3.791525479765706, 40.377697576926536 ",Joaquín Vilumbrales
True,True,linea-10,True," -3.812116233154177, 40.34523919601582 ",Puerta del Sur
True,True,linea-1,True," -3.6763772762447107, 40.47680705593772 ",Bambú
True,True,linea-1,True," -3.682593278115451, 40.4720227901636 ",Chamartín
False,True,linea-1,True," -3.689182340661554, 40.466893623466774 ",Plaza de Castilla
False,False,linea-1,False," -3.6950664665123973, 40.46441695832889 ",Valdeacederas
False,False,linea-1,False," -3.6950664665123973, 40.46441695832889 ",Tetuán
False,False,linea-1,False," -3.703028749396468, 40.454278749227846 ",Estrecho
False,False,linea-1,False," -3.7033178070796913, 40.45033105413335 ",Alvarado
True,True,linea-1,True," -3.7039784766540205, 40.446966678007556 ",Cuatro Caminos
False,False,linea-1,False," -3.7039784766540205, 40.446966678007556 ",Ríos Rosas
True,True,linea-1,False," -3.698983453377392, 40.43491591143403 ",Iglesia
False,False,linea-1,False," -3.702188295886296, 40.42904963582931 ",Bilbao
False,False,linea-1,True," -3.701109289546837, 40.426182305029535 ",Tribunal
False,False,linea-1,True," -3.701109289546837, 40.426182305029535 ",Gran Vía
True,True,linea-1,True," -3.7032639472488222, 40.416871893770455 ",Sol
False,False,linea-1,False," -3.704666474578768, 40.41234081319718 ",Tirso de Molina
False,False,linea-1,False," -3.704666474578768, 40.41234081319718 ",Antón Martín
False,False,linea-1,False," -3.704666474578768, 40.41234081319718 ",Estación del Arte
True,True,ml1,True," -3.6668070437216325, 40.48013291749131 ",Pinar de Chamartín
True,True,ml1,True," -3.663254681489714, 40.48481098673565 ",Fuente de la Mora
True,True,ml1,True," -3.66099048556045, 40.48733745493073 ",Virgen del Cortijo
True,False,ml1,False," -3.653538626506948, 40.4854519186063 ",Antonio Saura
True,False,ml1,False," -3.653538626506948, 40.4854519186063 ",Álvarez de Villaamil
False,False,linea-7,True," -3.6629736837416154, 40.4394433512344 ",Parque de las Avenidas
False,False,linea-7,True," -3.6721577545084036, 40.43933626219724 ",Cartagena
False,False,linea-7,True," -3.6721577545084036, 40.43933626219724 ",Avenida de América
True,True,linea-7,True," -3.6721577545084036, 40.43933626219724 ",Gregorio Marañón
